s	label	mindatid
gsmin:bario-orthojoaquinite	Bario-orthojoaquinite	525
gsmin:barioferrite	Barioferrite	39567
gsmin:barioperovskite	Barioperovskite	31404
gsmin:bariopharmacoalumite	Bariopharmacoalumite	40283
gsmin:bariosincosite	Bariosincosite	6816
gsmin:barlowite	Barlowite	40276
gsmin:barnesite	Barnesite	533
gsmin:barquillite	Barquillite	6820
gsmin:barrerite	Barrerite	536
gsmin:barringerite	Barringerite	537
gsmin:barroisite	Barroisite	539
gsmin:barstowite	Barstowite	540
gsmin:bartelkeite	Bartelkeite	541
gsmin:bartonite	Bartonite	544
gsmin:barylite	Barylite	545
gsmin:barysilite	Barysilite	546
gsmin:baryte	Baryte	549
gsmin:barytocalcite	Barytocalcite	466
gsmin:barytolamprophyllite	Barytolamprophyllite	462
gsmin:bassanite	Bassanite	557
gsmin:bassetite	Bassetite	558
gsmin:bassoite	Bassoite	42240
gsmin:bastnasite-ce	Bastnäsite-(Ce)	560
gsmin:bastnasite-la	Bastnäsite-(La)	561
gsmin:bastnasite-nd	Bastnäsite-(Nd)	29123
gsmin:bastnasite-y	Bastnäsite-(Y)	562
gsmin:batiferrite	Batiferrite	10174
gsmin:batisite	Batisite	568
gsmin:batisivite	Batisivite	36062
gsmin:baumhauerite	Baumhauerite	572
gsmin:baumstarkite	Baumstarkite	10995
gsmin:bauranoite	Bauranoite	574
gsmin:bavenite	Bavenite	577
gsmin:bayerite	Bayerite	580
gsmin:bayldonite	Bayldonite	581
gsmin:bayleyite	Bayleyite	582
gsmin:baylissite	Baylissite	583
gsmin:bazhenovite	Bazhenovite	584
gsmin:bazirite	Bazirite	585
gsmin:bazzite	Bazzite	586
gsmin:bearsite	Bearsite	589
gsmin:bearthite	Bearthite	590
gsmin:bechererite	Bechererite	593
