s	label	def
min:andrianovite	Andrianovite	Na12(K,Sr,Ce)3Ca6Mn3Zr3Nb(Si25O73)(O,H2O,OH)5 Nickel-Strunz 09.CO.10
min:androsite-ce	Androsite-(Ce)	{Mn2+REE}{AlAlMn2+}(SiO4)(Si2O7)O(OH) Nickel-Strunz 09.BG.05 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:andremeyerite	Andrémeyerite	BaFe2+2(Si2O7) Nickel-Strunz 09.BB.20
min:anduoite	Anduoite	(Ru,Os)As2 Nickel-Strunz 02.EB.15a
min:andychristyite	Andychristyite	PbCu2+Te6+O5(H2O) Nickel-Strunz 07.CC.
min:andyrobertsite	Andyrobertsite	KCdCu5(AsO4)4(H2AsO4) · 2H2O Nickel-Strunz 08.DH.50
min:angarfite	Angarfite	NaFe3+5(PO4)4(OH)4·4H2O Nickel-Strunz 08.00. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:angastonite	Angastonite	CaMgAl2(PO4)2(OH)4 · 7H2O Nickel-Strunz 08.DL.25
min:angelellite	Angelellite	Fe3+4(AsO4)2O3 Nickel-Strunz 08.BC.05
min:anglesite	Anglesite	PbSO4 Nickel-Strunz 07.AD.35
min:anhydrite	Anhydrite	CaSO4 Nickel-Strunz 07.AD.30
min:anhydrokainite	Anhydrokainite	KMg(SO4)Cl Nickel-Strunz 07.BC.80
min:anilite	Anilite	Cu7S4 Nickel-Strunz 02.BA.10
min:ankangite	Ankangite	Ba(Ti,V3+,Cr)8O16 Nickel-Strunz 04.DK.05
min:ankerite	Ankerite	Ca(Fe2+,Mg)(CO3)2 Nickel-Strunz 05.AB.10
min:ankinovichite	Ankinovichite	(Ni,Zn)Al4(V5+O3)2(OH)12 · 2.5H2O Nickel-Strunz 08.FE.05
min:annabergite	Annabergite	Ni3(AsO4)2 · 8H2O Nickel-Strunz 08.CE.40
min:annite	Annite	KFe2+3(AlSi3O10)(OH)2 Nickel-Strunz 09.EC.20
min:annivite	Annivite	Cu6[Cu4(Fe,Zn)2](As,Bi)4S13 Nickel-Strunz 02.GB.05
min:anorpiment	Anorpiment	As2S3 Nickel-Strunz 02.FA.
min:anorthite	Anorthite	Ca(Al2Si2O8) Nickel-Strunz 09.FA.35
min:anorthoclase	Anorthoclase	(Na,K)AlSi3O8 Nickel-Strunz 09.FA.30
min:anorthominasragrite	Anorthominasragrite	(V4+O)(SO4) · 5H2O Nickel-Strunz 07.DB.20
min:ansermetite	Ansermetite	Mn2+(V2O6) · 4H2O Nickel-Strunz 04.HD.30
min:antarcticite	Antarcticite	CaCl2 · 6H2O Nickel-Strunz 03.BB.30
min:anthoinite	Anthoinite	AlWO3(OH)3 Nickel-Strunz 07.GB.35
min:anthonyite	Anthonyite	Cu(OH,Cl)2 · 3H2O Nickel-Strunz 03.DA.40
min:anthophyllite	Anthophyllite	˜?{Mg2}{Mg5}(Si8O22)(OH)2 Nickel-Strunz 09.DD.05
min:antigorite	Antigorite	Mg3(Si2O5)(OH)4 Nickel-Strunz 09.ED.15
min:antimonselite	Antimonselite	Sb2Se3 Nickel-Strunz 02.DB.05
min:antimony	Antimony	Sb Nickel-Strunz 01.CA.05
min:antipinite	Antipinite	KNa3Cu2(C2O4)4 Nickel-Strunz 10.00.
min:antitaenite	Antitaenite	Fe3Ni Nickel-Strunz 01.AE.10
min:antlerite	Antlerite	Cu3(SO4)(OH)4 Nickel-Strunz 07.BB.15
min:antofagastaite	Antofagastaite	Na2Ca(SO4)2·1.5H2O Nickel-Strunz 07.CC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:anyuiite	Anyuiite	AuPb2 Nickel-Strunz 01.AA.15
min:anzaite-ce	Anzaite-(Ce)	Ce4Fe2+Ti6O18(OH)2 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:apachite	Apachite	Cu9Si10O29 · 11H2O Nickel-Strunz 09.HE.10
min:apexite	Apexite	NaMg(PO4)·9H2O Nickel-Strunz 08.CA.
min:aphthitalite	Aphthitalite	(K,Na)3Na(SO4)2 Nickel-Strunz 07.AC.35
min:apjohnite	Apjohnite	Mn2+Al2(SO4)4 · 22H2O Nickel-Strunz 07.CB.85
min:aplowite	Aplowite	(Co,Mn,Ni)SO4 · 4H2O Nickel-Strunz 07.CB.15
min:apuanite	Apuanite	Fe2+Fe3+4Sb3+4O12S Nickel-Strunz 04.JA.25
min:aqualite	Aqualite	(H3O)8(Na,K,Sr)5Ca6Zr3Si26O66(OH)9Cl Nickel-Strunz 09.CO.10
min:aradite	Aradite	BaCa6[(SiO4)(VO4)](VO4)2F Nickel-Strunz 08.B0. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:aragonite	Aragonite	CaCO3 Nickel-Strunz 05.AB.15
min:arakiite	Arakiite	(Zn,Mn2+)(Mn2+,Mg)12(Fe3+,Al)2(As5+O4)2(As3+O3)(OH)23 Nickel-Strunz 08.BE.45
min:aramayoite	Aramayoite	Ag3Sb2(Bi,Sb)S6 Nickel-Strunz 02.HA.25
min:arangasite	Arangasite	Al2F(PO4)(SO4) · 9H2O Nickel-Strunz 08.DB.30 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:arapovite	Arapovite	(K1-x->>x)(Ca,Na)2U4+Si8O20 (x ~ 0.5) Nickel-Strunz 09.CH.10
min:aravaipaite	Aravaipaite	Pb3AlF9 · H2O Nickel-Strunz 03.DC.35
