s	label	def
min:aravaite	Aravaite	Ba2Ca18(SiO4)6(PO4)3(CO3)F3O Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:arcanite	Arcanite	K2SO4 Nickel-Strunz 07.AD.05
min:archerite	Archerite	(K,NH4)(H2PO4) Nickel-Strunz 08.AD.15
min:arctite	Arctite	Na2Ca4(PO4)3F Nickel-Strunz 08.BN.10
min:arcubisite	Arcubisite	Ag6CuBiS4 Nickel-Strunz 02.LA.40
min:ardaite	Ardaite	Pb19Sb13S35Cl7 Nickel-Strunz 02.LB.30
min:ardealite	Ardealite	Ca2(HPO4)(SO4) · 4H2O Nickel-Strunz 08.CJ.50
min:ardennite-as	Ardennite-(As)	Mn2+4Al4(AlMg)(AsO4)(SiO4)2(Si3O10)(OH)6 Nickel-Strunz 09.BJ.40
min:ardennite-v	Ardennite-(V)	Mn2+4Al4(AlMg)(VO4)(SiO4)2(Si3O10)(OH)6 Nickel-Strunz 09.BJ.40
min:arfvedsonite	Arfvedsonite	[Na][Na2][Fe2+4Fe3+]Si8O22(OH)2 Nickel-Strunz 09.DE.25
min:argandite	Argandite	Mn7(VO4)2(OH)8 Nickel-Strunz 08.BE.30
min:argentobaumhauerite	Argentobaumhauerite	Ag1.5Pb22As33.5S72 Nickel-Strunz 02.HC.05b
min:argentodufrenoysite	Argentodufrénoysite	Ag3Pb26As35S80 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:argentojarosite	Argentojarosite	AgFe3+3(SO4)2(OH)6 Nickel-Strunz 07.BC.10
min:argentoliveingite	Argentoliveingite	AgxPb40-2xAs48+xS112 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:argentopentlandite	Argentopentlandite	Ag(Fe,Ni)8S8 Nickel-Strunz 02.BB.15
min:argentopyrite	Argentopyrite	AgFe2S3 Nickel-Strunz 02.CB.65
min:argentotennantite	Argentotennantite	Ag6Cu4(Fe2+,Zn)2As4S12S Nickel-Strunz 02.GB.05
min:argentotetrahedrite-fe	Argentotetrahedrite-(Fe)	Ag6Cu4(Fe2+,Zn)2Sb4S12S Nickel-Strunz 02.GB.05
min:argesite	Argesite	(NH4)7Bi3Cl16 Nickel-Strunz 07.CD.
min:argutite	Argutite	GeO2 Nickel-Strunz 04.DB.05
min:argyrodite	Argyrodite	Ag8GeS6 Nickel-Strunz 02.BA.70
min:arhbarite	Arhbarite	Cu2Mg(AsO4)(OH)3 Nickel-Strunz 08.BE.25
min:ariegilatite	Ariegilatite	BaCa12(SiO4)4(PO4)2F2O Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:arisite-ce	Arisite-(Ce)	NaCe2(CO3)2[F2x(CO3)1-x]F Nickel-Strunz 05.BD.18
min:arisite-la	Arisite-(La)	NaLa2(CO3)2[F2x(CO3)1-x]F Nickel-Strunz 05.BD.18
min:aristarainite	Aristarainite	Na2MgB12O20 · 8H2O Nickel-Strunz 06.FB.05
min:armalcolite	Armalcolite	(Mg,Fe2+)Ti2O5 Nickel-Strunz 04.CB.15
min:armangite	Armangite	Mn2+26(AsO3)14(HAsO3)4(CO3) Nickel-Strunz 04.JB.20
min:armbrusterite	Armbrusterite	K5Na7Mn15[(Si9O22)4](OH)10 · 4H2O Nickel-Strunz 09.EG.65
min:armellinoite-ce	Armellinoite-(Ce)	Ca4Ce4+(AsO4)4·H2O Nickel-Strunz 08.C0. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:armenite	Armenite	BaCa2Al6Si9O30 · 2H2O Nickel-Strunz 09.CM.05
min:armstrongite	Armstrongite	CaZr[Si6O15] · 3H2O Nickel-Strunz 09.EA.35
min:arnhemite	Arnhemite	(K,Na)4Mg2(P2O7)2 · 5H2O Nickel-Strunz 08.FC.20
min:arrojadite-bafe	Arrojadite-(BaFe)	{Ba->>}{Fe2+->>}{Ca}{Na2->>}{Fe2+13}{Al}(PO4)11(HPO4)(OH)2 Nickel-Strunz 08.BF.05
min:arrojadite-bana	Arrojadite-(BaNa)	BaNa3(NaCa)Fe2+13Al(PO4)11(PO3OH)(OH) Nickel-Strunz 08.BF.05
min:arrojadite-kfe	Arrojadite-(KFe)	{KNa}{Fe2+->>}{Ca}{Na2->>}{Fe2+13}{Al}(PO4)11(HPO4)(OH)2 Nickel-Strunz 08.BF.05
min:arrojadite-kna	Arrojadite-(KNa)	{KNa}{Na2}{Ca}{Na2->>}{Fe2+13}{Al}(PO4)11(HPO4)(OH)2 Nickel-Strunz 08.BF.05
min:arrojadite-nafe	Arrojadite-(NaFe)	{Na2}{Fe2+->>}{Ca}{Na2->>}{Fe2+13}{Al}(PO4)11(HPO4)(OH)2 Nickel-Strunz 08.BF.05
min:arrojadite-pbfe	Arrojadite-(PbFe)	{Pb->>}{Fe2+->>}{Ca}{Na2->>}{Fe2+13}{Al}(PO4)11(HPO4)(OH)2 Nickel-Strunz 08.BF.05
min:arrojadite-srfe	Arrojadite-(SrFe)	{Sr->>}{Fe2+->>}{Ca}{Na2->>}{Fe2+13}{Al}(PO4)11(HPO4)(OH)2 Nickel-Strunz 08.BF.05
min:arsenatrotitanite	Arsenatrotitanite	NaTi(AsO4)O Nickel-Strunz 08.B0. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:arsenbrackebuschite	Arsenbrackebuschite	Pb2Fe3+(AsO4)2(OH) Nickel-Strunz 08.BG.05
min:arsendescloizite	Arsendescloizite	PbZn(AsO4)(OH) Nickel-Strunz 08.BH.35
min:arsenic	Arsenic	As Nickel-Strunz 01.CA.05
min:arseniopleite	Arseniopleite	(Ca,Na)NaMn2+(Mn2+,Mg,Fe2+)2(AsO4)3 Nickel-Strunz 08.AC.10
min:arseniosiderite	Arseniosiderite	Ca2Fe3+3(AsO4)3O2 · 3H2O Nickel-Strunz 08.DH.30
min:arsenites-antimonites-bismuthites-sulfites-selenites-tellurites-iodates	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates. Nickel-Strunz 04.J
min:arsenites-antimonites-bismuthites-sulfites-selenites-tellurites-iodates-arsenites-antimonites-bismuthites-with-additional-anions-with-h2o	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Arsenites, antimonites, bismuthites; with additional anions, with H2O	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Arsenites, antimonites, bismuthites; with additional anions, with H2O. Nickel-Strunz 04.JD
min:arsenites-antimonites-bismuthites-sulfites-selenites-tellurites-iodates-arsenites-antimonites-bismuthites-with-additional-anions-without-h2o	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Arsenites, antimonites, bismuthites; with additional anions, without H2O	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Arsenites, antimonites, bismuthites; with additional anions, without H2O. Nickel-Strunz 04.JB
min:arsenites-antimonites-bismuthites-sulfites-selenites-tellurites-iodates-arsenites-antimonites-bismuthites-without-additional-anions-with-h2o	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Arsenites, antimonites, bismuthites; without additional anions, with H2O	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Arsenites, antimonites, bismuthites; without additional anions, with H2O. Nickel-Strunz 04.JC
min:arsenites-antimonites-bismuthites-sulfites-selenites-tellurites-iodates-arsenites-antimonites-bismuthites-without-additional-anions-without-h2o	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Arsenites, antimonites, bismuthites; without additional anions, without H2O	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Arsenites, antimonites, bismuthites; without additional anions, without H2O. Nickel-Strunz 04.JA
min:arsenites-antimonites-bismuthites-sulfites-selenites-tellurites-iodates-selenites-with-additional-anions-with-h2o	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Selenites with additional anions, with H2O	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Selenites with additional anions, with H2O. Nickel-Strunz 04.JJ
min:arsenites-antimonites-bismuthites-sulfites-selenites-tellurites-iodates-selenites-with-additional-anions-without-h2o	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Selenites with additional anions, without H2O	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Selenites with additional anions, without H2O. Nickel-Strunz 04.JG
min:arsenites-antimonites-bismuthites-sulfites-selenites-tellurites-iodates-selenites-without-additional-anions-with-h2o	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Selenites without additional anions, with H2O	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Selenites without additional anions, with H2O. Nickel-Strunz 04.JH
min:arsenites-antimonites-bismuthites-sulfites-selenites-tellurites-iodates-selenites-without-additional-anions-without-h2o	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Selenites without additional anions, without H2O	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Selenites without additional anions, without H2O. Nickel-Strunz 04.JF
min:arsenites-antimonites-bismuthites-sulfites-selenites-tellurites-iodates-sulfites	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Sulfites	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Sulfites. Nickel-Strunz 04.JE
min:arsenites-antimonites-bismuthites-sulfites-selenites-tellurites-iodates-tellurites-with-additional-anions-with-h2o	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Tellurites with additional anions, with H2O	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Tellurites with additional anions, with H2O. Nickel-Strunz 04.JN
min:arsenites-antimonites-bismuthites-sulfites-selenites-tellurites-iodates-tellurites-with-additional-anions-without-h2o	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Tellurites with additional anions, without H2O	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Tellurites with additional anions, without H2O. Nickel-Strunz 04.JL
min:arsenites-antimonites-bismuthites-sulfites-selenites-tellurites-iodates-tellurites-without-additional-anions-with-h2o	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Tellurites without additional anions, with H2O	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Tellurites without additional anions, with H2O. Nickel-Strunz 04.JM
min:arsenites-antimonites-bismuthites-sulfites-selenites-tellurites-iodates-tellurites-without-additional-anions-without-h2o	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Tellurites without additional anions, without H2O	Arsenites, antimonites, bismuthites, sulfites, selenites, tellurites; iodates - Tellurites without additional anions, without H2O. Nickel-Strunz 04.JK
min:arsenmarcobaldiite	Arsenmarcobaldiite	Pb12(As3.2Sb2.8)Î£6S21 Nickel-Strunz 02.JB. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:arsenmedaite	Arsenmedaite	Mn2+6 As5+Si5O18(OH) Nickel-Strunz 09.BJ.
min:arsenobismite	Arsenobismite	Bi2(AsO4)(OH)3 Nickel-Strunz 08.00.00
min:arsenoclasite	Arsenoclasite	Mn2+5(AsO4)2(OH)4 Nickel-Strunz 08.BD.10
min:arsenocrandallite	Arsenocrandallite	CaAl3(AsO4)(AsO3OH)(OH)6 Nickel-Strunz 08.BL.10
min:arsenoflorencite-ce	Arsenoflorencite-(Ce)	CeAl3(AsO4)2(OH)6 Nickel-Strunz 08.BL.13
min:arsenoflorencite-la	Arsenoflorencite-(La)	LaAl3(AsO4)2(OH)6 Nickel-Strunz 08.BL.13
min:arsenoflorencite-nd	Arsenoflorencite-(Nd)	NdAl3(AsO4)2(OH)6 Nickel-Strunz 08.BL.13
min:arsenogorceixite	Arsenogorceixite	BaAl3(AsO4)(AsO3OH)(OH)6 Nickel-Strunz 08.BL.10
min:arsenogoyazite	Arsenogoyazite	SrAl3(AsO4)(AsO3OH)(OH)6 Nickel-Strunz 08.BL.10
min:arsenohauchecornite	Arsenohauchecornite	Ni18Bi3AsS16 Nickel-Strunz 02.BB.10
min:arsenohopeite	Arsenohopeite	Zn3(AsO4)2 · 4H2O Nickel-Strunz 08.CA.30
min:arsenolamprite	Arsenolamprite	As Nickel-Strunz 01.CA.10
min:arsenolite	Arsenolite	As2O3 Nickel-Strunz 04.CB.50
min:arsenopalladinite	Arsenopalladinite	Pd8(As,Sb)3 Nickel-Strunz 02.AC.10c
min:arsenopyrite	Arsenopyrite	FeAsS Nickel-Strunz 02.EB.20
min:arsenovanmeersscheite	Arsenovanmeersscheite	U6+(UO2)3(AsO4)2(OH)6 · 4H2O Nickel-Strunz 08.EC.20
min:arsenowagnerite	Arsenowagnerite	Mg2(AsO4)F Nickel-Strunz 08.BB.X
min:arsenowaylandite	Arsenowaylandite	BiAl3(AsO4)2(OH)6 Nickel-Strunz 08.BL.13
min:arsenpolybasite	Arsenpolybasite	(Ag,Cu)16As2S11 Nickel-Strunz 02.GB.15
min:arsenquatrandorite	Arsenquatrandorite	Ag17.6Pb12.8Sb38.1As11.5S96 Nickel-Strunz 02.JB. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:arsentsumebite	Arsentsumebite	Pb2Cu(AsO4)(SO4)(OH) Nickel-Strunz 08.BG.05
min:arsenudinaite	Arsenudinaite	NaMg4(AsO4)3 Nickel-Strunz 08.A0. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:arsenuranospathite	Arsenuranospathite	Al(UO2)2(AsO4)2F · 20H2O Nickel-Strunz 08.EB.25
min:arsenuranylite	Arsenuranylite	Ca(UO2)4(AsO4)2(OH)4 · 6H2O Nickel-Strunz 08.EC.10
min:arsiccioite	Arsiccioite	AgHg2Tl(As,Sb)2S6 Nickel-Strunz 02.GB. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:arsmirandite	Arsmirandite	Na18Cu12Fe3+O8(AsO4)8Cl5 Nickel-Strunz 08.B0. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:arthurite	Arthurite	CuFe3+2(AsO4)2(OH)2 · 4H2O Nickel-Strunz 08.DC.15
min:artinite	Artinite	Mg2(CO3)(OH)2 · 3H2O Nickel-Strunz 05.DA.10
min:artroeite	Artroeite	Pb[AlF3(OH)2] Nickel-Strunz 03.CC.15
min:artsmithite	Artsmithite	(Hg+2)2Al(PO4)1.74(OH)1.78 Nickel-Strunz 08.BO.40
min:arupite	Arupite	Ni3(PO4)2 · 8H2O Nickel-Strunz 08.CE.40
min:arzakite	Arzakite	Hg2+3S2(Br,Cl)2 Nickel-Strunz 02.FC.15a
min:arzrunite	Arzrunite	Cu4Pb2(SO4)(OH)4Cl6 · 2H2O (?) Nickel-Strunz 07.DF.60
min:asbecasite	Asbecasite	Ca3(Ti,Sn4+)Be2(AsO3)6(SiO4)2 Nickel-Strunz 04.JB.30
min:asbolane	Asbolane	(Ni,Co)2-xMn4+(O,OH)4 · nH2O Nickel-Strunz 04.FL.30
min:aschamalmite	Aschamalmite	Pb6Bi2S9 Nickel-Strunz 02.JB.40b
min:ashanite	Ashanite	(Nb,Ta,U,Fe,Mn)4O8 Nickel-Strunz 04.00.00
min:ashburtonite	Ashburtonite	Pb4Cu4(Si4O12)(HCO3)4(OH)3Cl · H2O Nickel-Strunz 09.CF.05
min:ashcroftine-y	Ashcroftine-(Y)	K5Na5(Y,Ca)12Si28O70(OH)2(CO3)8 · 8H2O Nickel-Strunz 09.DN.15
min:ashoverite	Ashoverite	Zn(OH)2 Nickel-Strunz 04.FA.10
min:asimowite	Asimowite	Fe2SiO4 Nickel-Strunz 09.BE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:asisite	Asisite	Pb7SiO9Cl2 Nickel-Strunz 03.DB.40
min:aspedamite	Aspedamite	˜? 12(Fe+23Fe2+)Nb4(ThNb9Fe+23 Ti4+O42)(H2O)9(OH)3 Nickel-Strunz 04.FN. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:aspidolite	Aspidolite	NaMg3(AlSi3O10)(OH)2 Nickel-Strunz 09.EC.20
min:asselbornite	Asselbornite	Pb(BiO)3(UO2)4(AsO4)2(OH)7·4H2O Nickel-Strunz 08.ED.10
min:astrocyanite-ce	Astrocyanite-(Ce)	Cu2(Ce,Nd,La)2(UO2)(CO3)5(OH)2 · 1.5H2O Nickel-Strunz 05.EF.05
min:astrophyllite	Astrophyllite	K2NaFe2+7Ti2Si8O28(OH)4F Nickel-Strunz 09.DC.05
min:atacamite	Atacamite	Cu2(OH)3Cl Nickel-Strunz 03.DA.10a
min:atelestite	Atelestite	Bi2(AsO4)O(OH) Nickel-Strunz 08.BO.15
min:atelisite-y	Atelisite-(Y)	Y4Si3O8(OH)8 Nickel-Strunz 09.00. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:atencioite	Atencioite	Ca2Fe2+3Mg2Be4(PO4)6(OH)4 · 6H2O Nickel-Strunz 08.DA.10
min:athabascaite	Athabascaite	Cu5Se4 Nickel-Strunz 02.BA.25
min:atheneite	Atheneite	Pd2As0.75Hg0.25 Nickel-Strunz 02.AC.05a
min:atlasovite	Atlasovite	K(BiO)Cu6Fe3+(SO4)5O3Cl Nickel-Strunz 07.BC.20
min:atokite	Atokite	(Pd,Pt)3Sn Nickel-Strunz 01.AG.10
min:attakolite	Attakolite	(Ca,Sr)Mn(Al,Fe)4(HPO4,PO4)3(SiO4,PO4)(OH)4 Nickel-Strunz 08.BH.60
min:attikaite	Attikaite	Ca3Cu2Al2(AsO4)4(OH)4 · 2H2O Nickel-Strunz 08.DJ.45
min:aubertite	Aubertite	CuAl(SO4)2Cl · 14H2O Nickel-Strunz 07.DB.05
min:augelite	Augelite	Al2(PO4)(OH)3 Nickel-Strunz 08.BE.05
min:augite	Augite	(CaxMgyFez)(Mgy1Fez1)Si2O6 Nickel-Strunz 09.DA.15
min:auriacusite	Auriacusite	Fe3+Cu2+(AsO4)O Nickel-Strunz 08.BB.30
min:aurichalcite	Aurichalcite	(Zn,Cu)5(CO3)2(OH)6 Nickel-Strunz 05.BA.15
min:auricupride	Auricupride	Cu3Au Nickel-Strunz 01.AA.10a
min:aurihydrargyrumite	Aurihydrargyrumite	Au6Hg5 Nickel-Strunz 01.AD.
min:aurivilliusite	Aurivilliusite	(Hg+2)0.5Hg2+(I,Br,Cl)O Nickel-Strunz 03.DD.50
min:auroantimonate	Auroantimonate	AuSbO3 Nickel-Strunz 04.CB.05
min:aurorite	Aurorite	(Mn2+,Ag,Ca)Mn4+3O7 · 3H2O Nickel-Strunz 04.FL.20
min:aurostibite	Aurostibite	AuSb2 Nickel-Strunz 02.EB.05a
min:austinite	Austinite	CaZn(AsO4)(OH) Nickel-Strunz 08.BH.35
min:autunite	Autunite	Ca(UO2)2(PO4)2 · 11H2O Nickel-Strunz 08.EB.05
min:avdeevite	Avdeevite	(Na,Cs)(Be2Li)Al2(Si6O18) Nickel-Strunz 09.CJ. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:avdoninite	Avdoninite	K2Cu5(OH)4Cl8 · H2O Nickel-Strunz 03.DA.55
min:averievite	Averievite	Cu6(VO4)2O2Cl2 Nickel-Strunz 08.BB.85
min:avicennite	Avicennite	Tl2O3 Nickel-Strunz 04.CB.10
min:avogadrite	Avogadrite	(K,Cs)[BF4] Nickel-Strunz 03.CA.10
min:awaruite	Awaruite	Ni3Fe Nickel-Strunz 01.AE.20
min:axelite	Axelite	Na14Cu7(AsO4)8F2Cl2 Nickel-Strunz 08.B0. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:axinite	Axinite	(Ca,Fe,Mn)3Al2BO3Si4O12OH Nickel-Strunz 09.BD.20
min:axinite-fe	Axinite-(Fe)	Ca2Fe2+Al2BSi4O15OH Nickel-Strunz 09.BD.20
min:axinite-mg	Axinite-(Mg)	Ca2MgAl2BSi4O15OH Nickel-Strunz 09.BD.20
min:axinite-mn	Axinite-(Mn)	Ca2Mn2+Al2BSi4O15(OH) Nickel-Strunz 09.BD.20
min:azoproite	Azoproite	(Mg,Fe2+)2(Fe3+,Ti,Mg)(BO3)O2 Nickel-Strunz 06.AB.30
min:azurite	Azurite	Cu3(CO3)2(OH)2 Nickel-Strunz 05.BA.05
min:borates	BORATES	BORATES. Nickel-Strunz 06
min:babefphite	Babefphite	BaBePO4(F,OH) Nickel-Strunz 08.BA.15
min:babingtonite	Babingtonite	Ca2(Fe,Mn)FeSi5O14(OH) Nickel-Strunz 09.DK.05
min:babkinite	Babkinite	Pb2Bi2(S,Se)3 Nickel-Strunz 02.GC.40e
min:babanekite	Babánekite	Cu3(AsO4)2 · 8H2O Nickel-Strunz 08.CE.X
min:backite	Backite	Pb2AlTeO6Cl Nickel-Strunz 03.DC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:badakhshanite-y	Badakhshanite-(Y)	Y2Mn4Al(Si2B7BeO24) Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:badalovite	Badalovite	Na2Mg2Fe(AsO4)3 Nickel-Strunz 08.A0. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:baddeleyite	Baddeleyite	ZrO2 Nickel-Strunz 04.DE.35
min:bafertisite	Bafertisite	Ba2Fe2+4Ti2(Si2O7)2O2(OH)2F2 Nickel-Strunz 09.BE.55
min:baghdadite	Baghdadite	Ca3(Zr,Ti)(Si2O7)O2 Nickel-Strunz 09.BE.17
min:bahianite	Bahianite	Al5Sb3O14(OH)2 Nickel-Strunz 04.DC.05
min:baileychlore	Baileychlore	(Zn,Fe2+,Al,Mg)6(Si,Al)4O10(OH)8 Nickel-Strunz 09.EC.55
min:bairdite	Bairdite	Pb2Cu2+4Te6+2O10(OH)2(SO4).H2O Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:bakerite	Bakerite	Ca4(H5B5Si3O20) Nickel-Strunz 09.AJ.20
min:bakhchisaraitsevite	Bakhchisaraitsevite	Na2Mg5(PO4)4 · 7H2O Nickel-Strunz 08.CH.50
min:baksanite	Baksanite	Bi6Te2S3 Nickel-Strunz 02.DC.05
min:balangeroite	Balangeroite	(Mg,Fe2+,Fe3+,Mn2+)42Si16O54(OH)40 Nickel-Strunz 09.DH.35
min:balestraite	Balestraite	KLi2V5+Si4O12 Nickel-Strunz 09.EC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:balipholite	Balipholite	BaLiMg2Al3(Si2O6)2(OH)4 Nickel-Strunz 09.DB.05
min:baliczunicite	Bali?žuni?ite	Bi2O(SO4)2 Nickel-Strunz 07.A0.
min:balkanite	Balkanite	Cu9Ag5HgS8 Nickel-Strunz 02.BD.15
min:balliranoite	Balliranoite	(Na,K)6Ca2(Si6Al6O24)Cl2(CO3) Nickel-Strunz 09.FB.05
min:balyakinite	Balyakinite	Cu(TeO3) Nickel-Strunz 04.JK.15
min:bambollaite	Bambollaite	Cu(Se,Te)2 Nickel-Strunz 02.EB.05b
min:bamfordite	Bamfordite	Fe3+Mo2O6(OH)3 · H2O Nickel-Strunz 04.FK.05
min:banalsite	Banalsite	Na2BaAl4Si4O16 Nickel-Strunz 09.FA.60
min:bandylite	Bandylite	Cu[B(OH)4]Cl Nickel-Strunz 06.AC.35
min:bannermanite	Bannermanite	(Na,K)0.7V4+0.7V5+5.3O15 Nickel-Strunz 04.HF.05
min:bannisterite	Bannisterite	(Ca,K,Na)(Mn2+,Fe2+)10(Si,Al)16O38(OH)8 · nH2O Nickel-Strunz 09.EG.75
min:baotite	Baotite	Ba4Ti8Si4O28Cl Nickel-Strunz 09.CE.15
min:barahonaite-al	Barahonaite-(Al)	(Ca,Cu,Na,Fe3+,Al)12Al2(AsO4)8(OH,Cl)x · nH2O Nickel-Strunz 08.CH.60
min:barahonaite-fe	Barahonaite-(Fe)	(Ca,Cu,Na,Fe3+,Al)12Fe3+2(AsO4)8(OH,Cl)x · nH2O Nickel-Strunz 08.CH.60
min:bararite	Bararite	(NH4)2[SiF6] Nickel-Strunz 03.CH.10
min:baratovite	Baratovite	KCa7(Ti,Zr)2Li3Si12O36F2 Nickel-Strunz 09.CJ.25
min:barberiite	Barberiite	(NH4)[BF4] Nickel-Strunz 03.CA.10
min:barbosalite	Barbosalite	Fe2+Fe3+2(PO4)2(OH)2 Nickel-Strunz 08.BB.40
min:barentsite	Barentsite	Na7Al(HCO3)2(CO3)2F4 Nickel-Strunz 05.BB.05
min:bariandite	Bariandite	Al0.6(V5+,V4+)8O20 · 9H2O Nickel-Strunz 04.HE.20
min:barikaite	Barikaite	Ag3Pb10(Sb8As11)S40 Nickel-Strunz 02.HB. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:bario-olgite	Bario-olgite	(Ba,Sr)(Na,Sr,REE)2Na(PO4)2 · Nickel-Strunz 08.AC.40
min:bario-orthojoaquinite	Bario-orthojoaquinite	(Ba,Sr)4Fe2Ti2[Si4O12]2O2 · H2O Nickel-Strunz 09.CE.25
min:barioferrite	Barioferrite	BaFe3+12O19 Nickel-Strunz 04.CC.45
min:bariomicrolite	Bariomicrolite	Bariomicrolite. Nickel-Strunz 04.DH.15
min:barioperovskite	Barioperovskite	BaTiO3 Nickel-Strunz 04.CC.30
min:bariopharmacoalumite	Bariopharmacoalumite	Ba0.5Al4(AsO4)3(OH)4 · 4H2O Nickel-Strunz 08.DK.12
min:bariopharmacosiderite	Bariopharmacosiderite	Ba0.5Fe3+4(AsO4)3(OH)4 · 5H2O Nickel-Strunz 08.DK.10
min:bariopyrochlore	Bariopyrochlore	Ba2Nb2O7 Nickel-Strunz 04.DH.15
min:bariosincosite	Bariosincosite	Ba(VO)2(PO4)2 · 4H2O Nickel-Strunz 08.CJ.65
min:baricite	Bari?ite	(Mg,Fe)3(PO4)2 · 8H2O Nickel-Strunz 08.CE.40
min:barlowite	Barlowite	Cu4BrF(OH)6 Nickel-Strunz 03.DA.15
min:barnesite	Barnesite	(Na,Ca)V6O16 · 3H2O Nickel-Strunz 04.HG.45
min:barquillite	Barquillite	Cu2CdGeS4 Nickel-Strunz 02.KA.10
min:barrerite	Barrerite	(Na,K,Ca0.5)2[Al2Si7O18] · 7H2O Nickel-Strunz 09.GE.15
min:barringerite	Barringerite	(Fe,Ni)2P Nickel-Strunz 01.BD.10
min:barringtonite	Barringtonite	MgCO3 · 2H2O Nickel-Strunz 05.CA.15
min:barroisite	Barroisite	˜?{CaNa}{Mg3Al2}(AlSi7O22)(OH)2 Nickel-Strunz 09.DE.20
min:barrotite	Barrotite	Cu9Al(HSiO4)2[(SO4)(HAsO4)0.5](OH)12·8H2O Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:barrydawsonite-y	Barrydawsonite-(Y)	Na1.5Y0.5CaSi3O9H Nickel-Strunz 09.DG. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:barstowite	Barstowite	Pb4Cl6(CO3) · H2O Nickel-Strunz 03.DC.95
min:bartelkeite	Bartelkeite	Pb(Fe2+Ge)[Ge2O7](OH)2 · H2O Nickel-Strunz 09.J0.10
min:bartonite	Bartonite	K6Fe20S26S Nickel-Strunz 02.FC.10
min:barwoodite	Barwoodite	Mn2+6Nb5+(SiO4)2O3(OH)3 Nickel-Strunz 09.AF. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:barylite	Barylite	Be2Ba(Si2O7) Nickel-Strunz 09.BB.15
min:barylite-1o	Barylite-1O	Be2Ba(Si2O7) Nickel-Strunz 09.BB.15
