label	s	strunz
Arsenmedaite	gcmin:arsenmedaite	09.BJ
Arsenoclasite	gcmin:arsenoclasite	08.BD.10
Arsenocrandallite	gcmin:arsenocrandallite	08.BL.10
Arsenoflorencite-(Ce)	gcmin:arsenoflorencite-ce	08.BL.13
Arsenoflorencite-(La)	gcmin:arsenoflorencite-la	08.BL.13
Arsenofreibergite Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/54915>	
Arsenogoldfieldite	gcmin:arsenogoldfieldite	02.GB
Arsenogorceixite	gcmin:arsenogorceixite	08.BL.10
Arsenogoyazite	gcmin:arsenogoyazite	08.BL.10
Arsenohauchecornite	gcmin:arsenohauchecornite	02.BB.10
Arsenohopeite	gcmin:arsenohopeite	08.??
Arsenolamprite	gcmin:arsenolamprite	01.CA.10
Arsenolite	gcmin:arsenolite	04.CB.50
Arsenopalladinite	gcmin:arsenopalladinite	02.AC.10c
Arsenopalladinite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/35748>	
Arsenopyrite	gcmin:arsenopyrite	02.EB.20
Arsenopyrite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/29271>	
Arsentsumebite	gcmin:arsentsumebite	08.BG.05
Arsenuranospathite	gcmin:arsenuranospathite	08.EB.25
Arsenuranylite	gcmin:arsenuranylite	08.EC.10
Arsiccioite	gcmin:arsiccioite	02.GA
Arthurite	gcmin:arthurite	08.DC.15
Arthurite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/29272>	
Artinite	gcmin:artinite	05.DA.10
Artroeite	gcmin:artroeite	03.CC.15
Artsmithite	gcmin:artsmithite	08.BO.40
Arupite	gcmin:arupite	08.CE.40
Arzrunite	gcmin:arzrunite	07.DF.60
Asagiite	gcmin:asagiite	07.DD
Asbecasite	gcmin:asbecasite	04.JB.30
Asbolane	gcmin:asbolane	04.FL.30
Aschamalmite	gcmin:aschamalmite	02.JB.40b
Ashburtonite	gcmin:ashburtonite	09.CF.05
Ashcroftine-(Y)	gcmin:ashcroftine-y	09.DN.15
Ashoverite	gcmin:ashoverite	04.FA.10
Asisite	gcmin:asisite	03.DB.40
Aspedamite	gcmin:aspedamite	04.FN
Aspidolite	gcmin:aspidolite	09.EC.20
Asselbornite	gcmin:asselbornite	08.ED.10
Astrocyanite-(Ce)	gcmin:astrocyanite-ce	05.EF.05
Astrophyllite	gcmin:astrophyllite	09.DC.05
Astrophyllite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/46962>	
Astrophyllite Supergroup	<https://w3id.org/geochem/1.0/min/grouplexicon/29273>	
Atacamite	gcmin:atacamite	03.DA.10a
Atacamite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/39924>	
Atelestite	gcmin:atelestite	08.BO.15
Atelestite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/40217>	
Atelisite-(Y)	gcmin:atelisite-y	09.??
Atencioite	gcmin:atencioite	08.DA.10
Athabascaite	gcmin:athabascaite	02.BA.25
Atheneite	gcmin:atheneite	02.AC.05a
Atlasovite	gcmin:atlasovite	07.BC.20
Atokite	gcmin:atokite	01.AG.10
Attakolite	gcmin:attakolite	08.BH.60
Attikaite	gcmin:attikaite	08.DJ.45
Aubertite	gcmin:aubertite	07.DB.05
Aubertite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/42722>	
Augelite	gcmin:augelite	08.BE.05
Augite	gcmin:augite	09.DA.15
Auriacusite	gcmin:auriacusite	08.BB.30
Aurichalcite	gcmin:aurichalcite	05.BA.15
Auricupride	gcmin:auricupride	01.AA.10a
Auricupride Subgroup	<https://w3id.org/geochem/1.0/min/grouplexicon/50246>	
Aurihydrargyrumite	gcmin:aurihydrargyrumite	01.AD
Aurivilliusite	gcmin:aurivilliusite	03.DD.50
Aurorite	gcmin:aurorite	04.FL.20
Aurostibite	gcmin:aurostibite	02.EB.05a
Austinite	gcmin:austinite	08.BH.35
Autunite	gcmin:autunite	08.EB.05
Autunite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/29274>	
Avdoninite	gcmin:avdoninite	03.DA.55
Averievite	gcmin:averievite	08.BB.85
